text,label
निचली जात के लोग हमारे ऊपर परजीवीहै.,hateful
बेशक मानवाधिकार हिन्दुओं पर लागू नहीं होने चाहिए.,hateful
ये अंग्रेज़ हैं . इनको कूड़े के साथ फ़ेंक देना चाहिए.,hateful
बांग्लादेशियों से बुरा कुछ नहीं है.,hateful
they shot another monkey lmaooooooooooo,hateful
@Levi_Page I don't bend that way queer. Thanks for the offer it's flattering.,hateful
मैं इन समलैंगिक लोगो पर विशवास नहीं कर सकता और यही सोचकर मैं उनमे से हर एक की हत्या कर दूंगा.,hateful
Members of non-traditional religions are all sub-human trash.,hateful
केवल समलैंगिक ही इतने हिंसक हो सकते हैं.,hateful
@Iemonaids done that spell check we know you meant fat liberal Dyke feminist Nazi bitches,hateful
समलैंगिक लोगो को जाके एक दुसरे की चुदाई करनी चाहिए.,hateful
@bonnoxxx nah she said you a fag,hateful
क्या यह स्पष्ट नहीं है की मुझे हिजड़ों से नफरत है?,hateful
आइए उन दलितों को यहां से भगा दिया जाए.,hateful
तुम गांडू हिन्दुओं को क्या दिक्कत हैं?,hateful
तुम जैसे मुसलमान पढ़ने लायक नहीं हैं.,hateful
जहा तक मेरा सवाल है हिजड़े मेरे लिए मानवीय कचरे के सामान हैं.,hateful
इन मुसलमानों को जिन्दा रहने का कोइ अधिकार नहीं है.,hateful
@Garner_412 heyyyyyyyyyyy fag boy am I gonna watch you play?,hateful
मैं उन हिन्दुओं को पीड़ित करने जा रहा हूँ.,hateful
मई दलितों से बेहद गर्हिना कतरा हूँ.,hateful
"Jennifer Lawrence's nudes sooooo trash. Im still smashin though, no doubt",hateful
हिन्दू हमें सम्मान देने से इनकार करते हैं. मैं उन्हें इसके लिए पीड़ित करने जा रहा हूँ.,hateful
@_angelaaau hey fag i &lt;3 you,hateful
इस तरह के सभ्य देश में तुम जैसे महिला का कोई स्थान नहीं है.,hateful
@Gutierrez_Alf legit retard,hateful
तभी अगर उन महिलाओं का कोई गला घोंट देता.,hateful
मैं हर दलित की जिंदगी ख़तम कर दूंगा.,hateful
मैं जिस भी अगले समलैंगिक को देखूंगा उसे मार दूंगा.,hateful
मेरे मन में तुम जैसे दलित के लिए कोई दया नहीं हैं.,hateful
अगर आप मुझसे पूछें तो आपके जैसे समलैंगिक चूहों से बढ़कर कुछ नहीं हैं.,hateful
हमें इन मुसलमानों को फांसी देनी चाहिए.,hateful
मुझे तुम जैसे मुसलमानोंसे घृणा है.,hateful
"When it rains it's good ""go to the mall weather"" all the coons be at home",hateful
महिलाऐं अन्य मनुष्यों की तरह जीवन जीने के लायक नहीं हैं.,hateful
विशिष्ट कुटिया व्यवहार.,hateful
