text,label
69,profanity
@55,profanity
@ssfcker,profanity
@ssfucker,profanity
@ssfvcker,profanity
@sshole,profanity
0ral seks,profanity
0ral sex,profanity
0rg@sm,profanity
0rgasms,profanity
3jakulating,profanity
4r5e,profanity
4r5ed,profanity
4r5es,profanity
4skin,profanity
5h17,profanity
5h1t,profanity
5kank,profanity
a_s_s,profanity
abbie,profanity
abeed,profanity
aboe,profanity
anal,profanity
anal hole,profanity
anal hore,profanity
anal pirate,profanity
analingus,profanity
analplug,profanity
analplugs,profanity
anilingus,profanity
animal fucker,profanity
anus,profanity
anus plug,profanity
ape shit,profanity
ape shite,profanity
apeshit,profanity
apeshite,profanity
ar5e,profanity
ar5ehole,profanity
arse,profanity
arse gobbler,profanity
arse hole,profanity
arse-bandit,profanity
arse-bandits,profanity
arse-fucker,profanity
arse-fuckers,profanity
arse-hole,profanity
arse-shagger,profanity
arsefuck,profanity
arsefucker,profanity
arsehole,profanity
arseshit,profanity
arsewipe,profanity
ashole,profanity
ass,profanity
ass bandit,profanity
ass eating boiolas,profanity
ass eating nob jokeys,profanity
ass fecker,profanity
ass fuck,profanity
ass fucker,profanity
ass fucking boiolas,profanity
ass fucking nob jokeys,profanity
ass hole,profanity
ass kisser,profanity
ass licking,profanity
ass muncher,profanity
ass-bandit,profanity
ass-fucker,profanity
ass-fuckers,profanity
ass-hole,profanity
asses,profanity
assface,profanity
assfck,profanity
assfcker,profanity
assfk,profanity
assfkcer,profanity
assfker,profanity
assfkr,profanity
assfook,profanity
assfuccer,profanity
assfuck,profanity
assfuck3r,profanity
assfucker,profanity
assfuckers,profanity
assfuckerz,profanity
assfukah,profanity
assfukka,profanity
assfukker,profanity
assfukkerz,profanity
assfvck3r,profanity
assfvcker,profanity
asshat,profanity
asshol3,profanity
asshole,profanity
asshole fucker,profanity
assholes,profanity
assmunch,profanity
assmuncher,profanity
asswhole,profanity
asswipe,profanity
axe wound,profanity
azz,profanity
azzhole,profanity
b to the inch,profanity
b！tch,profanity
b00bz,profanity
b0llock,profanity
b0llocks,profanity
b1+ch,profanity
b17ch,profanity
b1otch,profanity
b1otchs,profanity
b1tch,profanity
b1tch1ng,profanity
b1tch35,profanity
b1tch3s,profanity
b1tchees,profanity
b1tches,profanity
b1tchez,profanity
b1tchin,profanity
b1tching,profanity
b1tchs,profanity
b1tchy,profanity
baby batter,profanity
ballbag,profanity
bangbros,profanity
bassturd,profanity
bastard,profanity
bastardish,profanity
bastards,profanity
basterd,profanity
bastid,profanity
bastinado,profanity
basturd,profanity
bater,profanity
bates,profanity
batshit,profanity
batshite,profanity
bbc,profanity
bean queen,profanity
beaner,profanity
beaners,profanity
beat my meat,profanity
beat off,profanity
beat the meat,profanity
beat your meat,profanity
beeotch,profanity
bell end,profanity
bellend,profanity
bender,profanity
bewbs,profanity
beyoch,profanity
beyotch,profanity
bi + ch,profanity
bi+ch,profanity
biatch,profanity
biches,profanity
biotch,profanity
biotches,profanity
biotchez,profanity
bishes,profanity
bitch,profanity
bitch3s,profanity
bitchass,profanity
bitchasses,profanity
bitched,profanity
bitcher,profanity
bitchers,profanity
bitches,profanity
bitchez,profanity
bitchfuck,profanity
bitchhole,profanity
bitchin,profanity
bitchin',profanity
bitching,profanity
bitchlike,profanity
bitchness,profanity
bitchs,profanity
bitchslap,profanity
bitchtits,profanity
bitchy,profanity
bitchy ass,profanity
bizzach,profanity
BJ,profanity
blacky,profanity
blow a load,profanity
blow job,profanity
blowjob,profanity
blumpkin boy,profanity
boll0ck,profanity
bollock,profanity
bollockchops,profanity
bollocks,profanity
bollocktician,profanity
bollox,profanity
bondage,profanity
boner,profanity
bonk juice,profanity
boobs,profanity
booty,profanity
breasticles,profanity
breasts,profanity
bugger,profanity
bugger off,profanity
bull shit,profanity
bullshi,profanity
bullshit,profanity
bullshite,profanity
bum-bandits,profanity
bum-driller,profanity
bumhole,profanity
bung hole,profanity
butt fuck,profanity
butt fucker,profanity
butt hole,profanity
butt pirate,profanity
butt-fucker,profanity
butt-fuckers,profanity
butt-fucking-bandit,profanity
butt-munchers,profanity
buttermilk,profanity
buttfuck,profanity
buttfucker,profanity
buttfuckers,profanity
butthole,profanity
butthole boy,profanity
bwc,profanity
c*nt,profanity
c*ntface,profanity
c*nts,profanity
c*nty,profanity
c00n,profanity
c00nies,profanity
c0ck,profanity
c0ckhead,profanity
c0cks,profanity
c0cksuccer,profanity
c0cksucked,profanity
c0cksucker,profanity
c0cksuckers,profanity
c0x,profanity
c0xux0r,profanity
caaak,profanity
caca,profanity
cack,profanity
cagone,profanity
cajones,profanity
Camel jockey,profanity
cameltoe,profanity
carpet muncher,profanity
carpetmuncher,profanity
carpetmunchers,profanity
carpetmunching,profanity
cawk,profanity
cawk muncher,profanity
cawkmuncher,profanity
cawks,profanity
cawksucker,profanity
ch1nk,profanity
chesticles,profanity
china-virus,profanity
chinavirus,profanity
chinese-virus,profanity
chingchong,profanity
chink,profanity
chinky,profanity
choad nectar,profanity
chocha,profanity
choke the chicken,profanity
cholo,profanity
clitlickers,profanity
closet fuckhead,profanity
clusterfuck,profanity
clusterfucked,profanity
clusterfucker,profanity
clusterfucking,profanity
clusterfucks,profanity
cobb knobbler,profanity
cock,profanity
cock droplets,profanity
cock head,profanity
cock jockey,profanity
cock knocker,profanity
cock licker,profanity
cock munch,profanity
cock rider,profanity
cock smoker,profanity
cock snot,profanity
cock suck,profanity
cock sucker,profanity
cock sucking,profanity
cock sucking boiolas,profanity
cock sucking nob jokeys,profanity
cock tease,profanity
cock-face,profanity
cock-gobbler,profanity
cock-head,profanity
cock-sucker,profanity
cock-suckers,profanity
cockboy,profanity
cockeater,profanity
cockface,profanity
